城市,日期,小时,AQI,空气质量等级,PM2.5
石家庄,2025-12-04,16,54.0,良,25.0
石家庄,2025-12-04,13,49.0,优,22.0
石家庄,2025-12-05,0,61.0,良,39.0
石家庄,2025-12-04,20,59.0,良,35.0
石家庄,2025-12-05,4,66.0,良,46.0
石家庄,2025-12-05,1,64.0,良,43.0
石家庄,2025-12-04,17,53.0,良,30.0
石家庄,2025-12-05,8,73.0,良,49.0
石家庄,2025-12-05,6,67.0,良,48.0
石家庄,2025-12-04,23,60.0,良,38.0
石家庄,2025-12-04,14,47.0,优,22.0
石家庄,2025-12-05,5,67.0,良,44.0
石家庄,2025-12-05,2,65.0,良,44.0
石家庄,2025-12-04,21,61.0,良,39.0
石家庄,2025-12-05,9,78.0,良,50.0
石家庄,2025-12-05,7,69.0,良,48.0
石家庄,2025-12-05,3,67.0,良,46.0
石家庄,2025-12-04,19,57.0,良,31.0
邢台,2025-12-04,11,59.0,良,36.0
邢台,2025-12-04,19,64.0,良,42.0
邢台,2025-12-04,15,54.0,良,36.0
邢台,2025-12-04,22,72.0,良,49.0
邢台,2025-12-04,12,62.0,良,31.0
邢台,2025-12-04,18,57.0,良,36.0
邢台,2025-12-04,16,53.0,良,34.0
邢台,2025-12-04,13,82.0,良,60.0
邢台,2025-12-05,0,72.0,良,52.0
邢台,2025-12-04,20,65.0,良,44.0
邢台,2025-12-05,4,70.0,良,45.0
邢台,2025-12-05,1,68.0,良,46.0
邢台,2025-12-04,17,54.0,良,30.0
邢台,2025-12-05,8,75.0,良,55.0
邢台,2025-12-05,6,72.0,良,50.0
邢台,2025-12-04,23,69.0,良,49.0
邢台,2025-12-04,14,74.0,良,54.0
邢台,2025-12-05,5,71.0,良,50.0
邢台,2025-12-05,2,74.0,良,50.0
邢台,2025-12-04,21,70.0,良,44.0
邢台,2025-12-05,9,74.0,良,53.0
邢台,2025-12-05,7,75.0,良,55.0
邢台,2025-12-05,3,71.0,良,45.0
唐山,2025-12-04,11,31.0,优,15.0
唐山,2025-12-04,15,20.0,优,3.0
唐山,2025-12-04,22,35.0,优,23.0
唐山,2025-12-04,12,19.0,优,7.0
唐山,2025-12-04,18,24.0,优,9.0
唐山,2025-12-04,16,19.0,优,6.0
唐山,2025-12-04,13,20.0,优,3.0
唐山,2025-12-05,0,33.0,优,20.0
唐山,2025-12-04,20,31.0,优,15.0
唐山,2025-12-05,4,43.0,优,23.0
唐山,2025-12-05,1,37.0,优,23.0
唐山,2025-12-04,17,17.0,优,5.0
唐山,2025-12-05,8,54.0,良,30.0
唐山,2025-12-05,6,50.0,优,22.0
唐山,2025-12-04,23,33.0,优,20.0
唐山,2025-12-04,14,20.0,优,4.0
唐山,2025-12-05,5,49.0,优,25.0
唐山,2025-12-05,2,43.0,优,24.0
唐山,2025-12-04,21,35.0,优,19.0
唐山,2025-12-05,9,59.0,良,34.0
唐山,2025-12-05,7,48.0,优,23.0
唐山,2025-12-05,3,38.0,优,24.0
唐山,2025-12-04,19,29.0,优,15.0
秦皇岛,2025-12-04,11,27.0,优,11.0
秦皇岛,2025-12-04,15,20.0,优,7.0
秦皇岛,2025-12-04,22,46.0,优,27.0
秦皇岛,2025-12-04,12,21.0,优,9.0
秦皇岛,2025-12-04,18,25.0,优,17.0
秦皇岛,2025-12-04,16,19.0,优,9.0
秦皇岛,2025-12-04,13,20.0,优,7.0
秦皇岛,2025-12-05,0,38.0,优,23.0
秦皇岛,2025-12-04,20,36.0,优,22.0
秦皇岛,2025-12-05,4,31.0,优,18.0
秦皇岛,2025-12-05,1,35.0,优,23.0
秦皇岛,2025-12-04,17,21.0,优,14.0
秦皇岛,2025-12-05,8,29.0,优,15.0
秦皇岛,2025-12-05,6,29.0,优,15.0
秦皇岛,2025-12-04,23,41.0,优,24.0
秦皇岛,2025-12-04,14,20.0,优,8.0
秦皇岛,2025-12-05,5,29.0,优,17.0
秦皇岛,2025-12-05,2,38.0,优,26.0
秦皇岛,2025-12-04,21,40.0,优,23.0
秦皇岛,2025-12-05,9,33.0,优,15.0
秦皇岛,2025-12-05,7,31.0,优,15.0
秦皇岛,2025-12-05,3,32.0,优,21.0
秦皇岛,2025-12-04,19,33.0,优,19.0
保定,2025-12-04,11,66.0,良,41.0
保定,2025-12-04,19,54.0,良,26.0
保定,2025-12-04,15,39.0,优,14.0
保定,2025-12-04,22,59.0,良,34.0
保定,2025-12-04,12,61.0,良,33.0
保定,2025-12-04,18,57.0,良,24.0
保定,2025-12-04,16,40.0,优,21.0
保定,2025-12-04,13,51.0,良,23.0
保定,2025-12-05,0,60.0,良,35.0
保定,2025-12-04,20,54.0,良,29.0
保定,2025-12-05,4,60.0,良,39.0
保定,2025-12-05,1,61.0,良,34.0
保定,2025-12-04,17,47.0,优,18.0
保定,2025-12-05,8,77.0,良,56.0
保定,2025-12-05,6,69.0,良,50.0
保定,2025-12-04,23,59.0,良,32.0
保定,2025-12-04,14,46.0,优,19.0
保定,2025-12-05,5,63.0,良,43.0
保定,2025-12-05,2,57.0,良,36.0
保定,2025-12-04,21,57.0,良,30.0
保定,2025-12-05,9,77.0,良,56.0
保定,2025-12-05,7,75.0,良,55.0
保定,2025-12-05,3,58.0,良,37.0
承德,2025-12-04,11,20.0,优,9.0
承德,2025-12-04,19,18.0,优,10.0
承德,2025-12-04,15,21.0,优,5.0
承德,2025-12-04,22,32.0,优,22.0
承德,2025-12-04,12,20.0,优,7.0
承德,2025-12-04,18,19.0,优,8.0
承德,2025-12-04,16,20.0,优,6.0
承德,2025-12-04,13,20.0,优,8.0
