city,date,hoyr,aqi,air_quality_level,pm25
邯郸市,2025-12-05,1.0,84.0,良,62.0
邯郸市,2025-12-04,21.0,77.0,良,56.0
邯郸市,2025-12-05,7.0,88.0,良,65.0
邯郸市,2025-12-05,3.0,82.0,良,60.0
邯郸市,2025-12-05,5.0,84.0,良,62.0
邢台市,2025-12-04,19.0,64.0,良,42.0
邢台市,2025-12-04,22.0,72.0,良,49.0
邢台市,2025-12-05,0.0,72.0,良,52.0
邢台市,2025-12-05,2.0,74.0,良,50.0
邢台市,2025-12-05,6.0,72.0,良,50.0
邢台市,2025-12-05,8.0,75.0,良,55.0
邢台市,2025-12-04,20.0,65.0,良,44.0
邢台市,2025-12-05,4.0,70.0,良,45.0
邢台市,2025-12-04,23.0,69.0,良,49.0
邢台市,2025-12-05,1.0,68.0,良,46.0
邢台市,2025-12-04,21.0,70.0,良,44.0
邢台市,2025-12-05,7.0,75.0,良,55.0
邢台市,2025-12-05,3.0,71.0,良,45.0
邢台市,2025-12-05,5.0,71.0,良,50.0
保定市,2025-12-04,19.0,54.0,良,26.0
保定市,2025-12-04,22.0,59.0,良,34.0
保定市,2025-12-05,0.0,60.0,良,35.0
保定市,2025-12-05,2.0,57.0,良,36.0
保定市,2025-12-05,6.0,69.0,良,50.0
保定市,2025-12-05,8.0,77.0,良,56.0
保定市,2025-12-04,20.0,54.0,良,29.0
保定市,2025-12-05,4.0,60.0,良,39.0
保定市,2025-12-04,23.0,59.0,良,32.0
保定市,2025-12-05,1.0,61.0,良,34.0
保定市,2025-12-04,21.0,57.0,良,30.0
保定市,2025-12-05,7.0,75.0,良,55.0
保定市,2025-12-05,3.0,58.0,良,37.0
保定市,2025-12-05,5.0,63.0,良,43.0
承德市,2025-12-04,19.0,18.0,优,10.0
承德市,2025-12-04,22.0,32.0,优,22.0
承德市,2025-12-05,0.0,32.0,优,20.0
承德市,2025-12-05,2.0,29.0,优,16.0
承德市,2025-12-05,6.0,32.0,优,15.0
承德市,2025-12-05,8.0,36.0,优,16.0
承德市,2025-12-04,20.0,27.0,优,10.0
承德市,2025-12-05,4.0,25.0,优,12.0
承德市,2025-12-04,23.0,27.0,优,18.0
承德市,2025-12-05,1.0,26.0,优,12.0
承德市,2025-12-04,21.0,26.0,优,13.0
承德市,2025-12-05,7.0,29.0,优,19.0
承德市,2025-12-05,3.0,27.0,优,16.0
承德市,2025-12-05,5.0,27.0,优,12.0
沧州市,2025-12-04,19.0,42.0,优,23.0
沧州市,2025-12-04,22.0,46.0,优,26.0
沧州市,2025-12-05,0.0,41.0,优,25.0
沧州市,2025-12-05,2.0,33.0,优,16.0
沧州市,2025-12-05,6.0,41.0,优,24.0
沧州市,2025-12-05,8.0,46.0,优,28.0
沧州市,2025-12-04,20.0,51.0,良,28.0
沧州市,2025-12-05,4.0,37.0,优,23.0
