date,city,pm25,data_quality_flag
2015-01-31,承德市,23.0,0
2015-01-31,沧州市,75.0,0
2015-01-31,廊坊市,29.0,0
2015-01-31,衡水市,77.0,0
2015-02-01,北京市,76.0,0
2015-02-01,天津市,134.0,0
2015-02-01,石家庄市,167.0,0
2015-02-01,唐山市,129.0,0
2015-02-01,秦皇岛市,80.0,0
2015-02-01,邯郸市,69.0,0
2015-02-01,邢台市,124.0,0
2015-02-01,保定市,256.0,0
2015-02-01,张家口市,38.0,0
2015-02-01,承德市,42.0,0
2015-02-01,沧州市,83.0,0
2015-02-01,廊坊市,138.0,0
2015-02-01,衡水市,92.0,0
2015-02-02,北京市,139.0,0
2015-02-02,天津市,126.0,0
2015-02-02,石家庄市,201.0,0
2015-02-02,唐山市,147.0,0
2015-02-02,秦皇岛市,118.0,0
2015-02-02,邯郸市,139.0,0
2015-02-02,邢台市,171.0,0
2015-02-02,保定市,283.0,0
2015-02-02,张家口市,64.0,0
2015-02-02,承德市,71.0,0
2015-02-02,沧州市,121.0,0
2015-02-02,廊坊市,184.0,0
2015-02-02,衡水市,114.0,0
2015-02-03,北京市,117.0,0
2015-02-03,天津市,149.0,0
2015-02-03,石家庄市,183.0,0
2015-02-03,唐山市,149.0,0
2015-02-03,秦皇岛市,164.0,0
2015-02-03,邯郸市,238.0,0
2015-02-03,邢台市,229.0,0
2015-02-03,保定市,261.0,0
2015-02-03,张家口市,24.0,0
2015-02-03,承德市,85.0,0
2015-02-03,沧州市,211.0,0
2015-02-03,廊坊市,129.0,0
2015-02-03,衡水市,273.0,0
2015-02-04,北京市,10.0,0
2015-02-04,天津市,17.0,0
2015-02-04,石家庄市,30.0,0
2015-02-04,唐山市,50.0,0
2015-02-04,秦皇岛市,56.0,0
2015-02-04,邯郸市,111.0,0
2015-02-04,邢台市,86.0,0
2015-02-04,保定市,33.0,0
2015-02-04,张家口市,15.0,0
2015-02-04,承德市,13.0,0
2015-02-04,沧州市,55.0,0
2015-02-04,廊坊市,9.0,0
2015-02-04,衡水市,86.0,0
2015-02-05,北京市,27.0,0
2015-02-05,天津市,26.0,0
2015-02-05,石家庄市,43.0,0
2015-02-05,唐山市,30.0,0
2015-02-05,秦皇岛市,24.0,0
2015-02-05,邯郸市,88.0,0
2015-02-05,邢台市,59.0,0
2015-02-05,保定市,79.0,0
2015-02-05,张家口市,19.0,0
2015-02-05,承德市,21.0,0
2015-02-05,沧州市,26.0,0
2015-02-05,廊坊市,27.0,0
